"","GeoName","happening","human","consensus","affectweather","worried","harmplants","futuregen","devharm","harmUS","personal","timing","fundrenewables","regulate","CO2limits","reducetax","supportRPS","rebates","drillANWR","drilloffshore","teachGW","corporations","citizens","congress","governor","localofficials","prienv","discuss","mediaweekly"
"40","Pennsylvania",68.658,55.657,48.688,60.748,59.433,69.172,68.865,60.195,56.539,38.484,48.714,83.867,78.204,68.796,67.831,61.81,81.901,33.06,52.037,78.543,68.161,64.082,60.961,56.297,55.972,69.525,33.24,20.016
"41","Rhode Island",71.395,58.969,53.556,63.768,61.169,72.171,72.729,64.976,60.475,41.738,51.907,85.076,78.747,71.341,67.037,66.381,82.033,33.391,50.405,77.459,69.506,65.556,64.387,59.42,59.072,69.621,37.897,26.294
"42","South Carolina",66.409,52.746,44.109,57.036,56.493,65.45,65.414,57.363,54.023,38.663,48.121,83.959,75.121,67.128,66.89,61.429,80.537,34.115,52.152,78.37,65.247,62.047,59.13,54.491,55.903,67.375,31.232,17.82
"43","South Dakota",62.727,51.176,40.742,56.11,54.619,66.338,64.896,54.334,51.927,33.169,42.844,84.923,74.141,66.024,64.534,60.974,80.727,36.542,52.739,76.817,64.234,60.036,55.358,49.028,50.898,67.967,31.642,20.179
"44","Tennessee",63.864,52.254,41.845,53.656,54.288,64.177,63.491,54.562,53.608,36.378,46.511,81.432,73.979,63.68,65.216,58.91,79.28,37.06,57.271,77.957,62.85,59.566,57.354,55.028,55.337,66.469,30.56,18.487
"45","Texas",69.502,56.301,46.684,58.872,60.77,69.032,69.499,62.284,58.832,42.484,50.417,81.592,74.573,68.194,66.016,62.393,79.766,34.04,54.692,77.792,65.624,63.116,59.918,56.404,57.577,67.581,33.782,21.388
"46","Utah",65.611,51.164,44.526,56.866,56.033,65.972,63.81,56.501,52.903,34.667,44.467,84.897,74.107,64.69,61.824,57.647,81.784,35.63,51.395,76.123,65.531,62.253,55.229,47.553,50.928,67.977,37.078,23.031
"47","Vermont",72.5,59.761,55.238,66.872,62.307,74.236,75.291,65.191,60.185,40.072,50.323,87.689,80.526,73.509,68.709,67.333,84.362,30.721,48.998,78.633,71.801,67.117,65.079,56.193,55.603,71.501,39.035,27.77
"48","Virginia",71.369,58.076,51.342,63.002,61.607,72.561,71.613,63.403,58.472,41.666,51.751,86.054,78.11,71.352,69.877,64.316,82.462,31.886,47.585,80.435,69.012,65.588,63.263,57.479,58.039,69.666,35.836,21.178
"49","Washington",72.859,59.024,55.284,63.69,63.212,74.782,74.614,66.412,60.777,41.717,52.361,84.575,78.145,74.082,68.729,65.129,82.473,28.852,40.166,80.496,69.718,67.188,63.88,53.024,56.827,71.228,41.552,26.913
"50","West Virginia",58.573,43.914,36.553,46.352,46.616,57.391,57.057,48.534,44.569,29.88,38.107,82.165,70.221,53.154,54.031,49.995,79.173,39.857,58.027,67.287,59.67,56.675,48.681,44.66,47.601,64.35,28.529,19.196
"51","Wisconsin",67.081,56.018,48.484,60.478,56.929,69.795,70.681,61.474,55.22,36.923,45.86,85.828,77.931,70.207,67.223,63.108,82.895,33.582,52.566,77.23,68.576,64.087,59.834,54.227,52.946,67.637,33.005,21.717
"52","Wyoming",59.681,43.409,37.121,48.651,48.339,58.986,57.089,49.082,45.565,29.104,37.055,83.777,69.422,52.616,51.718,49.955,80.989,40.265,57.301,68.022,61.205,57.356,46.621,39.727,44.41,66.63,33.379,21.848
